"button_quit_to_desktop","Quit to desktop","Выйти на рабочий стол","走出去"
"button_quit_to_menu","Back to the main menu","Вернуться в главное меню","返回主菜单"
"button_load_last_checkpoint","Load last checkpoint","Загрузить последний чекпоинт","返回主菜单"
"button_change_loadout","Change Loadout","Изменить Снаряжение","更改装载量"
"ui_loading_screen_loading_text","Loading...","Загрузка...","装货。.."
"gameplay_ui_dead","Dead","Мeртв","杀人犯"
"gameplay_ui_tab_menu_kills","Kills","Убийства","杀人犯"
"gameplay_ui_tab_menu_deaths","Deaths","Смерти","死亡"
"gameplay_ui_tab_menu_ping","Ping","Задержка","平"
"gameplay_ui_tab_menu_score","Score","Очки","得分"
"guns_name_shotgun","Shotgun","Дробовик","猎枪,猎枪"
"guns_name_pistol","Pistol","Пистолет","枪"
"dialogue_unknown_name","Unknown","Неизвестный","zh"
"before_first_play_title","What happened","Что произошло","zh"
"before_first_play_text","<br><b>This is information,</b><br>You wake up after an ******** and try to understand what kind of place is around you. Your memory is weak upon awakening. The only item you find in your bag is a working camera, which can show hidden messages on captured photo. So be sure to capture important objects as you won't be able to remember them.<br><br>Your point is to find clues about your past.<br><br><br><b>Good luck</b>","<br><b>Это - информация,</b><br>Вы просыпаетесь после ******** и пытаетесь понять, что за место вас окружает. После пробуждения ваша память слаба. Единственный предмет, который вы находите в своей сумке, - это работающий фотоаппарат, который может показывать скрытые сообщения на сделанных снимках. Поэтому не забудьте запечатлять важные объекты, так как вы не сможете их запомнить.<br><br>Ваша цель - найти подсказки о своем прошлом.<br><br><br><b>Удачи</b>","zh"
"start_journey","Start a journey ->","Начать путь ->","zh"
"tooltip_cursor","Press middle mouse button to activate cursor","Нажмите среднюю кнопку мыши, чтобы активировать курсор","zh"
"tooltip_pause_menu","Press Esc or LeftAlt to close menu.","Нажмите Esc или LeftAlt, чтобы закрыть меню","zh"
"tooltip_title","Tooltip","Подсказка","zh"
"tooltip_transition_to_next_level","Press F to proceed to next area","Нажмите F, чтобы перейти к следующей области","zh"
"tooltip_language_switch","You need to apply language change, click this:","Вам надо применить изменение языка, нажмите на эту кнопку:","zh"
"tooltip_take_doc","Press F to take the document","Нажмите F, чтобы взять документ","zh"
"tooltip_sit_trolley","Press F to sit or leave the trolley","Нажмите F, чтобы сесть или покинуть вагонетку","zh"
"tooltip_leverer","Press F to switch path","Нажмите F, чтобы поменять путь","zh"
"tooltip_view_files","Press F to view files","Нажмите F, чтобы посмотреть файлы","zh"
"tooltip_to_remember","Press F to remember the past","Нажмите F, чтобы вспомнить прошлое","zh"
"tooltip_return_time","Press F to return in present","Нажмите F, чтобы вернуться в настоящее","zh"
"photo_description_important","Important","Важное","zh"
"photo_description_noted","Vivid","Заметочное","zh"
"photo_description_simple","Simple","Простое","zh"
"notification_photo","{0} photo added to notes. Press Tab or H","{0} фото добавлено в альбом. Нажите Tab или H","zh"
"notification_doc","<b><color=yellow>{0}</color></b> added to inventory. Press N","<b><color=yellow>{0}</color></b> добавлено в инвентарь. Нажмите N","zh"
"doc_strng_title","Stranger Things...","Очень странные дела...","zh"
"doc_strng_text","If you're afraid - don't do it, - if you're doing it - don't be afraid! Jump!","Если ты боишься, - не делай этого; если ты делаешь это, - не бойся! Прыгай!","zh"
"doc_cmpfiles_title","Computer Files","Файлы на компьютере","zh"
"doc_cmpfiles_text","These computer have an old videos and photos... I can't remember but I think that I have seen this before... The blocked staircase became the same as in the video, I wonder what's at the top?","На этом компьютере я нашёл старые видео и фото... Я не помню, но кажется, что я видел это раньше... Заваленная лестница стала такой же как на видео, интересно, что там сверху?","zh"
"doc_flngs_title","Feelings.","Ощущения.","zh"
"doc_flngs_text,"I feel very lost. My head hurt like hell just a second ago, but I seem to be okay now. I had a bag with me, I'm not even sure it was mine now, but it had a camera in it, a working camera. The film on it is completely blank, the camera itself is as good as new, which is surprising. Everything around me is enclosed, I want to get out.","Я чувствую себя очень потерянным. Моя голова будто бы раскалывалась ещё секунду назад, но сейчас, вроде, со мной всё в порядке. С собой у меня была сумка, я даже не уверен, что она моя, но теперь у меня есть фотоаппарат, работающий, блять, фотик. Плёнка в нём была абсолютно пуста, а камера, к слову, выглядить очень даже хорошо, что удивляет. Всё вокруг меня полностью закрыто, я хочу уйти куда-либо. Ничего не понимаю.","zh"
"doc_no1_title","---- No1.","---- No1.","zh"
"doc_no1_text","Nature....","Природа...","zh"
"doc_nono_title","----","----","zh"
"doc_nono_text","It's a great day. Maybe we should get together here more often. Come next Saturday, we'll have a blast!","Сегодня был просто охуенный день! Может нам стоит чаще так вот собираться. Приходите-ка в следующую субботу, оторвёмся!","zh"
